commodity,digit,count,observed_pct,expected_pct
BARLEY,1,192,0.35036496350364965,0.3010299956639812
BARLEY,2,90,0.16423357664233576,0.17609125905568124
BARLEY,3,57,0.10401459854014598,0.12493873660829993
BARLEY,4,47,0.08576642335766424,0.09691001300805642
BARLEY,5,44,0.08029197080291971,0.07918124604762482
BARLEY,6,38,0.06934306569343066,0.06694678963061322
BARLEY,7,29,0.05291970802919708,0.05799194697768673
BARLEY,8,28,0.051094890510948905,0.05115252244738129
BARLEY,9,23,0.041970802919708027,0.04575749056067514
DATES,1,161,0.3194444444444444,0.3010299956639812
DATES,2,65,0.12896825396825398,0.17609125905568124
DATES,3,76,0.15079365079365079,0.12493873660829993
DATES,4,41,0.08134920634920635,0.09691001300805642
DATES,5,43,0.08531746031746032,0.07918124604762482
DATES,6,27,0.05357142857142857,0.06694678963061322
DATES,7,40,0.07936507936507936,0.05799194697768673
DATES,8,33,0.06547619047619048,0.05115252244738129
DATES,9,18,0.03571428571428571,0.04575749056067514
CUSCUTA,1,28,0.08484848484848485,0.3010299956639812
CUSCUTA,2,80,0.24242424242424243,0.17609125905568124
CUSCUTA,3,55,0.16666666666666666,0.12493873660829993
CUSCUTA,4,42,0.12727272727272726,0.09691001300805642
CUSCUTA,5,30,0.09090909090909091,0.07918124604762482
CUSCUTA,6,49,0.1484848484848485,0.06694678963061322
CUSCUTA,7,18,0.05454545454545454,0.05799194697768673
CUSCUTA,8,26,0.07878787878787878,0.05115252244738129
CUSCUTA,9,2,0.006060606060606061,0.04575749056067514
CRESS,1,79,0.2200557103064067,0.3010299956639812
CRESS,2,75,0.20891364902506965,0.17609125905568124
CRESS,3,29,0.0807799442896936,0.12493873660829993
CRESS,4,27,0.07520891364902507,0.09691001300805642
CRESS,5,31,0.08635097493036212,0.07918124604762482
CRESS,6,15,0.04178272980501393,0.06694678963061322
CRESS,7,45,0.12534818941504178,0.05799194697768673
CRESS,8,35,0.09749303621169916,0.05115252244738129
CRESS,9,23,0.06406685236768803,0.04575749056067514
SESAME,1,107,0.2729591836734694,0.3010299956639812
SESAME,2,95,0.2423469387755102,0.17609125905568124
SESAME,3,62,0.15816326530612246,0.12493873660829993
SESAME,4,44,0.11224489795918367,0.09691001300805642
SESAME,5,23,0.058673469387755105,0.07918124604762482
SESAME,6,9,0.02295918367346939,0.06694678963061322
SESAME,7,20,0.05102040816326531,0.05799194697768673
SESAME,8,9,0.02295918367346939,0.05115252244738129
SESAME,9,23,0.058673469387755105,0.04575749056067514
WOOL,1,57,0.16863905325443787,0.3010299956639812
WOOL,2,61,0.1804733727810651,0.17609125905568124
WOOL,3,68,0.20118343195266272,0.12493873660829993
WOOL,4,77,0.22781065088757396,0.09691001300805642
WOOL,5,39,0.11538461538461539,0.07918124604762482
WOOL,6,6,0.01775147928994083,0.06694678963061322
WOOL,7,7,0.020710059171597635,0.05799194697768673
WOOL,8,18,0.05325443786982249,0.05115252244738129
WOOL,9,5,0.014792899408284023,0.04575749056067514
ALL,1,624,0.25252934034803726,0.3010299956639812
ALL,2,466,0.188587616349656,0.17609125905568124
ALL,3,347,0.14042897612302713,0.12493873660829993
ALL,4,278,0.11250505868069607,0.09691001300805642
ALL,5,210,0.08498583569405099,0.07918124604762482
ALL,6,144,0.05827600161877782,0.06694678963061322
ALL,7,159,0.06434641845406718,0.05799194697768673
ALL,8,149,0.060299473897207606,0.05115252244738129
ALL,9,94,0.03804127883447997,0.04575749056067514
