commodity,digit,count,observed_pct,expected_pct
BARLEY,1,158,0.316,0.3010299956639812
BARLEY,2,84,0.168,0.17609125905568124
BARLEY,3,62,0.124,0.12493873660829993
BARLEY,4,37,0.074,0.09691001300805642
BARLEY,5,32,0.064,0.07918124604762482
BARLEY,6,22,0.044,0.06694678963061322
BARLEY,7,26,0.052,0.05799194697768673
BARLEY,8,46,0.092,0.05115252244738129
BARLEY,9,33,0.066,0.04575749056067514
DATES,1,148,0.34579439252336447,0.3010299956639812
DATES,2,86,0.20093457943925233,0.17609125905568124
DATES,3,69,0.16121495327102803,0.12493873660829993
DATES,4,24,0.056074766355140186,0.09691001300805642
DATES,5,30,0.07009345794392523,0.07918124604762482
DATES,6,27,0.0630841121495327,0.06694678963061322
DATES,7,12,0.028037383177570093,0.05799194697768673
DATES,8,14,0.03271028037383177,0.05115252244738129
DATES,9,18,0.04205607476635514,0.04575749056067514
MUSTARD,1,55,0.2777777777777778,0.3010299956639812
MUSTARD,2,42,0.21212121212121213,0.17609125905568124
MUSTARD,3,39,0.19696969696969696,0.12493873660829993
MUSTARD,4,22,0.1111111111111111,0.09691001300805642
MUSTARD,5,28,0.1414141414141414,0.07918124604762482
MUSTARD,6,2,0.010101010101010102,0.06694678963061322
MUSTARD,7,2,0.010101010101010102,0.05799194697768673
MUSTARD,8,4,0.020202020202020204,0.05115252244738129
MUSTARD,9,4,0.020202020202020204,0.04575749056067514
CRESS,1,98,0.46445497630331756,0.3010299956639812
CRESS,2,33,0.15639810426540285,0.17609125905568124
CRESS,3,16,0.07582938388625593,0.12493873660829993
CRESS,4,28,0.13270142180094788,0.09691001300805642
CRESS,5,13,0.061611374407582936,0.07918124604762482
CRESS,6,8,0.037914691943127965,0.06694678963061322
CRESS,7,0,0.0,0.05799194697768673
CRESS,8,9,0.04265402843601896,0.05115252244738129
CRESS,9,6,0.02843601895734597,0.04575749056067514
SESAME,1,79,0.2872727272727273,0.3010299956639812
SESAME,2,40,0.14545454545454545,0.17609125905568124
SESAME,3,34,0.12363636363636364,0.12493873660829993
SESAME,4,46,0.16727272727272727,0.09691001300805642
SESAME,5,20,0.07272727272727272,0.07918124604762482
SESAME,6,24,0.08727272727272728,0.06694678963061322
SESAME,7,8,0.02909090909090909,0.05799194697768673
SESAME,8,16,0.05818181818181818,0.05115252244738129
SESAME,9,8,0.02909090909090909,0.04575749056067514
WOOL 0.5 kg p. Shekel,1,39,0.20103092783505155,0.3010299956639812
WOOL 0.5 kg p. Shekel,2,66,0.3402061855670103,0.17609125905568124
WOOL 0.5 kg p. Shekel,3,22,0.1134020618556701,0.12493873660829993
WOOL 0.5 kg p. Shekel,4,22,0.1134020618556701,0.09691001300805642
WOOL 0.5 kg p. Shekel,5,31,0.15979381443298968,0.07918124604762482
WOOL 0.5 kg p. Shekel,6,13,0.06701030927835051,0.06694678963061322
WOOL 0.5 kg p. Shekel,7,0,0.0,0.05799194697768673
WOOL 0.5 kg p. Shekel,8,1,0.005154639175257732,0.05115252244738129
WOOL 0.5 kg p. Shekel,9,0,0.0,0.04575749056067514
ALL,1,577,0.3194905869324474,0.3010299956639812
ALL,2,351,0.19435215946843853,0.17609125905568124
ALL,3,242,0.13399778516057587,0.12493873660829993
ALL,4,179,0.0991140642303433,0.09691001300805642
ALL,5,154,0.08527131782945736,0.07918124604762482
ALL,6,96,0.053156146179401995,0.06694678963061322
ALL,7,48,0.026578073089700997,0.05799194697768673
ALL,8,90,0.04983388704318937,0.05115252244738129
ALL,9,69,0.03820598006644518,0.04575749056067514
