format,model,tau,delta,n,r_squared,fit_min_z,amplitude
X (qty per shekel),A=1,0.1353466821128513,0.29249866463613217,760,0.569174513099321,0.0,
X (qty per shekel),free A,1.1086464564550749,1.2132479160167813,760,0.9358093852218416,0.0,0.4077074953033764
1/X (shekel per unit),A=1,0.027610332612654533,0.18525552880804766,672,0.5113747936733701,0.0,
1/X (shekel per unit),free A,0.8293392386578469,0.7948651404288403,672,0.893824470412197,0.0,0.3948236132476682
