commodity,value,zscore,cdf
BARLEY,27.0,-0.9121009770772547,0.10822510822510822
BARLEY,27.0,-0.9121009770772547,0.10966810966810966
BARLEY,30.0,-0.8622769747823092,0.13564213564213565
BARLEY,32.0,-0.8290609732523457,0.17604617604617603
BARLEY,32.0,-0.8290609732523457,0.1774891774891775
BARLEY,36.0,-0.7626289701924186,0.21356421356421357
BARLEY,44.0,-0.6297649640725642,0.3203463203463203
BARLEY,42.0,-0.6629809656025278,0.29004329004329005
BARLEY,96.0,0.2338510757064887,0.6652236652236653
BARLEY,96.0,0.2338510757064887,0.6666666666666666
BARLEY,72.0,-0.1647409426530742,0.5353535353535354
BARLEY,78.0,-0.06509293806318349,0.5800865800865801
BARLEY,52.5,-0.4885969575702191,0.4069264069264069
BARLEY,52.5,-0.4885969575702191,0.4083694083694084
BARLEY,63.0,-0.3142129495379103,0.494949494949495
BARLEY,63.0,-0.3142129495379103,0.4963924963924964
BARLEY,72.0,-0.1647409426530742,0.5367965367965368
BARLEY,72.0,-0.1647409426530742,0.5382395382395382
BARLEY,72.0,-0.1647409426530742,0.5396825396825397
BARLEY,84.0,0.034555066526707236,0.6046176046176046
BARLEY,39.0,-0.7128049678974732,0.2510822510822511
BARLEY,33.0,-0.8124529724873639,0.18614718614718614
BARLEY,33.0,-0.8124529724873639,0.18759018759018758
BARLEY,28.5,-0.887188975929782,0.12698412698412698
BARLEY,24.0,-0.9619249793722,0.07792207792207792
BARLEY,36.0,-0.7626289701924186,0.215007215007215
BARLEY,99.0,0.28367507800143404,0.6897546897546898
BARLEY,60.0,-0.36403695183285567,0.4603174603174603
BARLEY,60.0,-0.36403695183285567,0.46176046176046176
BARLEY,66.0,-0.26438894724296497,0.5093795093795094
BARLEY,39.0,-0.7128049678974732,0.25252525252525254
BARLEY,39.0,-0.7128049678974732,0.25396825396825395
BARLEY,102.0,0.3334990802963794,0.7012987012987013
BARLEY,102.0,0.3334990802963794,0.7027417027417028
BARLEY,108.0,0.43314708488627013,0.7272727272727273
BARLEY,114.0,0.5327950894761608,0.7561327561327561
BARLEY,114.0,0.5327950894761608,0.7575757575757576
BARLEY,120.0,0.6324430940660516,0.7821067821067821
BARLEY,117.0,0.5826190917711063,0.7777777777777778
BARLEY,120.0,0.6324430940660516,0.7835497835497836
BARLEY,69.0,-0.2145649449480196,0.5281385281385281
BARLEY,138.0,0.9313871078357238,0.862914862914863
BARLEY,144.0,1.0310351124256145,0.8658008658008658
BARLEY,150.0,1.1306831170155052,0.8744588744588745
BARLEY,72.0,-0.1647409426530742,0.5411255411255411
BARLEY,51.0,-0.5135089587176918,0.37662337662337664
BARLEY,9.0,-1.2110449908469267,0.007215007215007215
BARLEY,26.0,-0.9287089778422365,0.10245310245310245
BARLEY,36.0,-0.7626289701924186,0.21645021645021645
BARLEY,48.0,-0.5633329610126371,0.35064935064935066
BARLEY,48.0,-0.5633329610126371,0.35209235209235207
BARLEY,46.0,-0.5965489625426007,0.3463203463203463
BARLEY,44.0,-0.6297649640725642,0.3217893217893218
BARLEY,43.5,-0.6380689644550551,0.31601731601731603
BARLEY,45.0,-0.6131569633075825,0.32611832611832614
BARLEY,43.5,-0.6380689644550551,0.31746031746031744
BARLEY,39.0,-0.7128049678974732,0.2554112554112554
BARLEY,37.0,-0.7460209694274368,0.24386724386724387
BARLEY,36.0,-0.7626289701924186,0.2178932178932179
BARLEY,60.0,-0.36403695183285567,0.46320346320346323
BARLEY,54.0,-0.4636849564227464,0.41414141414141414
BARLEY,30.0,-0.8622769747823092,0.1370851370851371
BARLEY,12.0,-1.1612209885519815,0.01443001443001443
BARLEY,13.0,-1.1446129877869997,0.021645021645021644
BARLEY,12.0,-1.1612209885519815,0.015873015873015872
BARLEY,13.5,-1.1363089874045087,0.024531024531024532
BARLEY,13.5,-1.1363089874045087,0.025974025974025976
BARLEY,12.0,-1.1612209885519815,0.017316017316017316
BARLEY,12.0,-1.1612209885519815,0.01875901875901876
BARLEY,7.5,-1.2359569919943996,0.005772005772005772
BARLEY,13.5,-1.1363089874045087,0.027417027417027416
BARLEY,13.5,-1.1363089874045087,0.02886002886002886
BARLEY,9.0,-1.2110449908469267,0.008658008658008658
BARLEY,9.0,-1.2110449908469267,0.010101010101010102
BARLEY,14.0,-1.128004987022018,0.030303030303030304
BARLEY,14.5,-1.119700986639527,0.031746031746031744
BARLEY,13.0,-1.1446129877869997,0.023088023088023088
BARLEY,56.0,-0.4304689548927828,0.4458874458874459
