commodity,format,n,min,max,range,mean,median,std,skew,kurtosis
BARLEY,X (quantity per silver),548,0.00670555890833501,0.4672897196261682,0.4605841607178332,0.11369864082078181,0.09363295880149813,0.08077245067026467,1.3680651402247688,2.199754478151134
BARLEY,1/X (silver per quantity),548,2.14,149.13,146.99,15.128284671532846,10.68,14.051364873987218,3.434372704557659,20.0682976980266
DATES,X (quantity per silver),504,0.016719612104999164,0.8064516129032259,0.7897320007982267,0.18629873972450045,0.1297016861219196,0.1428965045338017,1.2874305935761703,1.3587244850719733
DATES,1/X (silver per quantity),504,1.24,59.81,58.57,9.644126984126984,7.71,8.522135861035213,2.626788615072337,9.576614523284732
CUSCUTA,X (quantity per silver),330,0.05042864346949068,1.282051282051282,1.2316226385817912,0.45826444394742133,0.4329004329004329,0.24323270346294337,0.7426461838465577,0.02833485815549519
CUSCUTA,1/X (silver per quantity),330,0.78,19.83,19.049999999999997,3.071818181818182,2.31,2.4226880428276165,3.802732735340852,20.655933766556927
CRESS,X (quantity per silver),359,0.006302388605281402,0.1440922190201729,0.1377898304148915,0.054631566894794155,0.048007681228996645,0.033874732454036396,0.5216243065808716,-0.7453454282301268
CRESS,1/X (silver per quantity),359,6.94,158.67,151.73,31.205793871866295,20.83,28.13452695744863,2.154108527292526,5.038379469749586
SESAME,X (quantity per silver),392,0.0036013973421687613,0.08643042350907519,0.08282902616690643,0.025743982448489997,0.024009603841536616,0.015327206939941525,1.035233476640857,1.3963020606127712
SESAME,1/X (silver per quantity),392,11.57,277.67,266.1,58.71716836734694,41.65,44.79847599015656,2.0515001476705876,5.131507773777753
WOOL,X (quantity per silver),338,0.060024009603841535,0.9615384615384615,0.9015144519346199,0.34064315880792034,0.3003003003003003,0.1745641478580855,0.44753462146563333,-0.22389058383853788
WOOL,1/X (silver per quantity),338,1.04,16.66,15.620000000000001,4.191775147928994,3.33,3.009732252901907,1.7130485255903203,2.520046176478317
