format,commodity,digit,count,observed_pct,expected_pct,residual,interpretation
X (quantity per silver),ALL,3,347,0.1404289761230271,0.1249387366082999,0.015490239514727194,observed more than expected
X (quantity per silver),ALL,4,278,0.112505058680696,0.0969100130080564,0.015595045672639599,observed more than expected
X (quantity per silver),ALL,5,210,0.0849858356940509,0.0791812460476248,0.005804589646426092,observed more than expected
X (quantity per silver),ALL,6,144,0.0582760016187778,0.0669467896306132,-0.008670788011835392,observed less than expected
X (quantity per silver),ALL,7,159,0.0643464184540671,0.0579919469776867,0.006354471476380408,observed more than expected
X (quantity per silver),ALL,8,149,0.0602994738972076,0.0511525224473812,0.009146951449826399,observed more than expected
X (quantity per silver),ALL,9,94,0.0380412788344799,0.0457574905606751,-0.007716211726195202,observed less than expected
1/X (silver per quantity),BARLEY,1,162,0.2956204379562044,0.3010299956639812,-0.005409557707776791,observed less than expected
1/X (silver per quantity),BARLEY,2,80,0.145985401459854,0.1760912590556812,-0.030105857595827207,observed less than expected
1/X (silver per quantity),BARLEY,3,65,0.1186131386861313,0.1249387366082999,-0.006325597922168608,observed less than expected
1/X (silver per quantity),BARLEY,4,49,0.0894160583941605,0.0969100130080564,-0.0074939546138959034,observed less than expected
1/X (silver per quantity),BARLEY,5,27,0.0492700729927007,0.0791812460476248,-0.029911173054924106,observed less than expected
1/X (silver per quantity),BARLEY,6,51,0.0930656934306569,0.0669467896306132,0.02611890380004371,observed more than expected
1/X (silver per quantity),BARLEY,7,41,0.0748175182481751,0.0579919469776867,0.016825571270488407,observed more than expected
1/X (silver per quantity),BARLEY,8,41,0.0748175182481751,0.0511525224473812,0.023664995800793905,observed more than expected
1/X (silver per quantity),BARLEY,9,32,0.0583941605839416,0.0457574905606751,0.012636670023266496,observed more than expected
1/X (silver per quantity),DATES,1,161,0.3194444444444444,0.3010299956639812,0.018414448780463222,observed more than expected
1/X (silver per quantity),DATES,2,89,0.1765873015873016,0.1760912590556812,0.0004960425316203887,good match (~0)
1/X (silver per quantity),DATES,3,53,0.1051587301587301,0.1249387366082999,-0.0197800064495698,observed less than expected
1/X (silver per quantity),DATES,4,40,0.0793650793650793,0.0969100130080564,-0.0175449336429771,observed less than expected
1/X (silver per quantity),DATES,5,29,0.0575396825396825,0.0791812460476248,-0.021641563507942302,observed less than expected
1/X (silver per quantity),DATES,6,40,0.0793650793650793,0.0669467896306132,0.012418289734466112,observed more than expected
1/X (silver per quantity),DATES,7,33,0.0654761904761904,0.0579919469776867,0.007484243498503698,observed more than expected
1/X (silver per quantity),DATES,8,24,0.0476190476190476,0.0511525224473812,-0.003533474828333598,good match (~0)
1/X (silver per quantity),DATES,9,35,0.0694444444444444,0.0457574905606751,0.023686953883769304,observed more than expected
1/X (silver per quantity),CUSCUTA,1,125,0.3787878787878788,0.3010299956639812,0.07775788312389759,observed more than expected
1/X (silver per quantity),CUSCUTA,2,55,0.1666666666666666,0.1760912590556812,-0.009424592389014608,observed less than expected
1/X (silver per quantity),CUSCUTA,3,74,0.2242424242424242,0.1249387366082999,0.09930368763412428,observed more than expected
1/X (silver per quantity),CUSCUTA,4,48,0.1454545454545454,0.0969100130080564,0.048544532446488986,observed more than expected
1/X (silver per quantity),CUSCUTA,5,4,0.0121212121212121,0.0791812460476248,-0.0670600339264127,observed less than expected
1/X (silver per quantity),CUSCUTA,6,9,0.0272727272727272,0.0669467896306132,-0.039674062357885995,observed less than expected
1/X (silver per quantity),CUSCUTA,7,7,0.0212121212121212,0.0579919469776867,-0.0367798257655655,observed less than expected
1/X (silver per quantity),CUSCUTA,8,3,0.009090909090909,0.0511525224473812,-0.0420616133564722,observed less than expected
1/X (silver per quantity),CUSCUTA,9,5,0.0151515151515151,0.0457574905606751,-0.03060597540916,observed less than expected
1/X (silver per quantity),CRESS,1,149,0.415041782729805,0.3010299956639812,0.11401178706582382,observed more than expected
1/X (silver per quantity),CRESS,2,49,0.1364902506963788,0.1760912590556812,-0.039601008359302414,observed less than expected
1/X (silver per quantity),CRESS,3,54,0.1504178272980501,0.1249387366082999,0.025479090689750183,observed more than expected
1/X (silver per quantity),CRESS,4,28,0.0779944289693593,0.0969100130080564,-0.0189155840386971,observed less than expected
1/X (silver per quantity),CRESS,5,13,0.0362116991643454,0.0791812460476248,-0.042969546883279405,observed less than expected
1/X (silver per quantity),CRESS,6,12,0.0334261838440111,0.0669467896306132,-0.03352060578660209,observed less than expected
1/X (silver per quantity),CRESS,7,9,0.0250696378830083,0.0579919469776867,-0.0329223090946784,observed less than expected
1/X (silver per quantity),CRESS,8,21,0.0584958217270195,0.0511525224473812,0.007343299279638296,observed more than expected
1/X (silver per quantity),CRESS,9,24,0.0668523676880222,0.0457574905606751,0.021094877127347103,observed more than expected
1/X (silver per quantity),SESAME,1,84,0.2142857142857142,0.3010299956639812,-0.08674428137826701,observed less than expected
1/X (silver per quantity),SESAME,2,75,0.1913265306122449,0.1760912590556812,0.015235271556563679,observed more than expected
1/X (silver per quantity),SESAME,3,97,0.2474489795918367,0.1249387366082999,0.1225102429835368,observed more than expected
1/X (silver per quantity),SESAME,4,29,0.0739795918367346,0.0969100130080564,-0.02293042117132181,observed less than expected
1/X (silver per quantity),SESAME,5,43,0.1096938775510204,0.0791812460476248,0.0305126315033956,observed more than expected
1/X (silver per quantity),SESAME,6,19,0.048469387755102,0.0669467896306132,-0.018477401875511196,observed less than expected
1/X (silver per quantity),SESAME,7,12,0.0306122448979591,0.0579919469776867,-0.0273797020797276,observed less than expected
1/X (silver per quantity),SESAME,8,20,0.0510204081632653,0.0511525224473812,-0.0001321142841159001,good match (~0)
1/X (silver per quantity),SESAME,9,13,0.0331632653061224,0.0457574905606751,-0.012594225254552699,observed less than expected
1/X (silver per quantity),WOOL,1,75,0.2218934911242603,0.3010299956639812,-0.0791365045397209,observed less than expected
1/X (silver per quantity),WOOL,2,111,0.3284023668639053,0.1760912590556812,0.15231110780822407,observed more than expected
1/X (silver per quantity),WOOL,3,42,0.1242603550295858,0.1249387366082999,-0.0006783815787141101,good match (~0)
1/X (silver per quantity),WOOL,4,53,0.1568047337278106,0.0969100130080564,0.059894720719754185,observed more than expected
1/X (silver per quantity),WOOL,5,21,0.0621301775147929,0.0791812460476248,-0.017051068532831906,observed less than expected
1/X (silver per quantity),WOOL,6,3,0.0088757396449704,0.0669467896306132,-0.05807104998564279,observed less than expected
1/X (silver per quantity),WOOL,7,0,0.0,0.0579919469776867,-0.0579919469776867,observed less than expected
1/X (silver per quantity),WOOL,8,32,0.0946745562130177,0.0511525224473812,0.04352203376563649,observed more than expected
1/X (silver per quantity),WOOL,9,1,0.0029585798816568,0.0457574905606751,-0.0427989106790183,observed less than expected
1/X (silver per quantity),ALL,1,756,0.3059490084985836,0.3010299956639812,0.004919012834602388,good match (~0)
1/X (silver per quantity),ALL,2,459,0.1857547551598543,0.1760912590556812,0.00966349610417308,observed more than expected
1/X (silver per quantity),ALL,3,385,0.1558073654390935,0.1249387366082999,0.030868628830793582,observed more than expected
1/X (silver per quantity),ALL,4,247,0.0999595305544314,0.0969100130080564,0.0030495175463749885,good match (~0)
1/X (silver per quantity),ALL,5,137,0.0554431404289761,0.0791812460476248,-0.023738105618648704,observed less than expected
1/X (silver per quantity),ALL,6,134,0.0542290570619182,0.0669467896306132,-0.012717732568694996,observed less than expected
1/X (silver per quantity),ALL,7,102,0.0412788344799676,0.0579919469776867,-0.016713112497719097,observed less than expected
1/X (silver per quantity),ALL,8,141,0.0570619182517199,0.0511525224473812,0.005909395804338698,observed more than expected
1/X (silver per quantity),ALL,9,110,0.0445163901254552,0.0457574905606751,-0.0012411004352199037,good match (~0)
